,ad_id,page_id,query,page_name,ad_creative_bodies,ad_delivery_start_time,bylines,currency,spend_lower,spend_upper,impressions_lower,impressions_upper,ad_snapshot_url,male,female,young,middle,old,delivery_by_region,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,ad_delivery_stop_time,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,concat_text,cleaned_ad,voice_ad,side,known_advertisers,voice_ad_classified,voice_keywords,other_keywords,score,algo,count
34,242243688637797,244628249678839,the voice,Senator Jess Walsh,I’m with Eddie 🖤💛❤️,2023-07-28,Senator Jess Walsh,AUD,0,99,1000,1999.0,https://www.facebook.com/ads/library/?id=242243688637797,0.446383,0.539406,0.091732,0.491602,0.416667,"[{'percentage': '0.022523', 'region': 'Australian Capital Territory'}, {'percentage': '0.258044', 'region': 'New South Wales'}, {'percentage': '0.008366', 'region': 'Northern Territory'}, {'percentage': '0.140283', 'region': 'Queensland'}, {'percentage': '0.063707', 'region': 'South Australia'}, {'percentage': '0.025097', 'region': 'Tasmania'}, {'percentage': '0.429215', 'region': 'Victoria'}, {'percentage': '0.052767', 'region': 'Western Australia'}]",0.022523,0.258044,0.008366,0.140283,0.063707,0.025097,0.429215,0.052767,2023-07-29,,,,I’m with Eddie 🖤💛❤️,imwitheddie,1.0,yes,,Is a Voice ad,,,50,False,1
231,1301205090794462,202499469817925,the voice,Senator Anne Urquhart,Anne Urquhart is a Labor Senator for Tasmania Anne Urquhart is a Labor Senator for Tasmania Anne Urquhart is a Labor Senator for Tasmania Anne Urquhart is a Labor Senator for Tasmania,2023-07-09,Senator Anne Urquhart,AUD,100,199,20000,24999.0,https://www.facebook.com/ads/library/?id=1301205090794462,0.55238,0.440411,0.510528,0.406338,0.083135,"[{'percentage': '1', 'region': 'Tasmania'}]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2023-07-10,,,,Anne Urquhart is a Labor Senator for Tasmania Anne Urquhart is a Labor Senator for Tasmania Anne Urquhart is a Labor Senator for Tasmania Anne Urquhart is a Labor Senator for Tasmania,anneurquhartisalaborsenatorfortasmaniaanneurquhartisalaborsenatorfortasmaniaanneurquhartisalaborsenatorfortasmaniaanneurquhartisalaborsenatorfortasmania,1.0,neutral,,Is a Voice ad,,,50,False,1
369,1522612541901552,160347484009125,the voice,Central Land Council,From the elected representatives of the remotest communities to all Australians - the Barunga Declaration today arrived in the people's house. Watch land council delegates sign it and open your hearts to our voice!,2023-06-27,Central Land Council,AUD,100,199,20000,24999.0,https://www.facebook.com/ads/library/?id=1522612541901552,0.255276,0.737536,0.961974,0.034315,0.00371,"[{'percentage': '0.003778', 'region': 'Unknown'}, {'percentage': '0.012022', 'region': 'Australian Capital Territory'}, {'percentage': '0.35608', 'region': 'New South Wales'}, {'percentage': '0.005954', 'region': 'Northern Territory'}, {'percentage': '0.177925', 'region': 'Queensland'}, {'percentage': '0.04866', 'region': 'South Australia'}, {'percentage': '0.00687', 'region': 'Tasmania'}, {'percentage': '0.32093', 'region': 'Victoria'}, {'percentage': '0.067781', 'region': 'Western Australia'}]",0.012022,0.35608,0.005954,0.177925,0.04866,0.00687,0.32093,0.067781,2023-07-10,,,,From the elected representatives of the remotest communities to all Australians - the Barunga Declaration today arrived in the people's house. Watch land council delegates sign it and open your hearts to our voice!,fromtheelectedrepresentativesoftheremotestcommunitiestoallaustraliansthebarungadeclarationtodayarrivedinthepeopleshousewatchlandcouncildelegatessignitandopenyourheartstoourvoice,1.0,yes,,Is a Voice ad,,,50,False,1
439,806191297754384,139174417547253,the voice,The Week on Wednesday,"Latest #podcast https://apple.co/3qJEEwP
Van Badham and Ben Davison explore the broken philosophy of The RBA that denies profiteering is a problem until everyone else has said it is, continues to believe in a wage-price spiral that doesn't exist and both simultaneously says people should get more work but we need less people employed.  

Of course the union movement was among the first to point out the fallacies of the RBA's ideology and continues to win better pay and conditions so join at australianunions.org.au/wow

Ben and Van also examine how Japan's monetary policy is structured and the outcomes that can be achieved when the high priests of Milton Friedman are no longer in charge.

The Greens have delayed the Housing Affordability Future Fund until at least October.  

Ben and Van look at the arguments, break down the math and try to get a better understanding whether it is politicking or ignorance that is driving The Greens to upend millions of dollars in social housing funding.

The referendum legislation has passed parliament meaning that the government must call a referendum within six months.  Van and Ben discuss the campaign so far, the work being done for a big national YES day on July 2nd and offer solidarity to those being attacked by the billionaire and corporate owned media for daring to have a Voice.

The good news is that despite the misinformation and vast corporate media NO machine the YES vote is ahead.  Ben and Van look at some polling, some analysis and give their views.

You can become a supporter at www.buymeacoffee.com/weekonwednesday and while you're there send us a question for Ben to answer on the Weekend Wrap this Sunday.
#auspol #housing #ECONOMY #YES #RBA",2023-06-21,The Week on Wednesday,AUD,100,199,9000,9999.0,https://www.facebook.com/ads/library/?id=806191297754384,0.736875,0.244476,0.392257,0.328163,0.27958,"[{'percentage': '0.024909', 'region': 'Australian Capital Territory'}, {'percentage': '0.277471', 'region': 'New South Wales'}, {'percentage': '0.007252', 'region': 'Northern Territory'}, {'percentage': '0.230806', 'region': 'Queensland'}, {'percentage': '0.091282', 'region': 'South Australia'}, {'percentage': '0.029324', 'region': 'Tasmania'}, {'percentage': '0.238058', 'region': 'Victoria'}, {'percentage': '0.100899', 'region': 'Western Australia'}]",0.024909,0.277471,0.007252,0.230806,0.091282,0.029324,0.238058,0.100899,2023-06-24,,,,"Latest #podcast https://apple.co/3qJEEwP
Van Badham and Ben Davison explore the broken philosophy of The RBA that denies profiteering is a problem until everyone else has said it is, continues to believe in a wage-price spiral that doesn't exist and both simultaneously says people should get more work but we need less people employed.  

Of course the union movement was among the first to point out the fallacies of the RBA's ideology and continues to win better pay and conditions so join at australianunions.org.au/wow

Ben and Van also examine how Japan's monetary policy is structured and the outcomes that can be achieved when the high priests of Milton Friedman are no longer in charge.

The Greens have delayed the Housing Affordability Future Fund until at least October.  

Ben and Van look at the arguments, break down the math and try to get a better understanding whether it is politicking or ignorance that is driving The Greens to upend millions of dollars in social housing funding.

The referendum legislation has passed parliament meaning that the government must call a referendum within six months.  Van and Ben discuss the campaign so far, the work being done for a big national YES day on July 2nd and offer solidarity to those being attacked by the billionaire and corporate owned media for daring to have a Voice.

The good news is that despite the misinformation and vast corporate media NO machine the YES vote is ahead.  Ben and Van look at some polling, some analysis and give their views.

You can become a supporter at www.buymeacoffee.com/weekonwednesday and while you're there send us a question for Ben to answer on the Weekend Wrap this Sunday.
#auspol #housing #ECONOMY #YES #RBA",latestpodcasthttpsappleco3qjeewpvanbadhamandbendavisonexplorethebrokenphilosophyoftherbathatdeniesprofiteeringisaproblemuntileveryoneelsehassaiditiscontinuestobelieveinawagepricespiralthatdoesntexistandbothsimultaneouslysayspeopleshouldgetmoreworkbutweneedlesspeopleemployedofcoursetheunionmovementwasamongthefirsttopointoutthefallaciesoftherbasideologyandcontinuestowinbetterpayandconditionssojoinataustralianunionsorgauwowbenandvanalsoexaminehowjapansmonetarypolicyisstructuredandtheoutcomesthatcanbeachievedwhenthehighpriestsofmiltonfriedmanarenolongerinchargethegreenshavedelayedthehousingaffordabilityfuturefunduntilatleastoctoberbenandvanlookattheargumentsbreakdownthemathandtrytogetabetterunderstandingwhetheritispolitickingorignorancethatisdrivingthegreenstoupendmillionsofdollarsinsocialhousingfundingthereferendumlegislationhaspassedparliamentmeaningthatthegovernmentmustcallareferendumwithinsixmonthsvanandbendiscussthecampaignsofartheworkbeingdoneforabignationalyesdayonjuly2ndandoffersolidaritytothosebeingattackedbythebillionaireandcorporateownedmediafordaringtohaveavoicethegoodnewsisthatdespitethemisinformationandvastcorporatemedianomachinetheyesvoteisaheadbenandvanlookatsomepollingsomeanalysisandgivetheirviewsyoucanbecomeasupporteratwwwbuymeacoffeecomweekonwednesdayandwhileyouretheresendusaquestionforbentoanswerontheweekendwrapthissundayauspolhousingeconomyyesrba,1.0,yes,,Not a Voice Ad,,"['yes', 'no', 'vote', 'referendum']",50,False,1
480,243475978383993,395201170875812,the voice,Colin Boyce MP,"Attention everybody in rural and regional Australia. The Labor Government is proposing legislation that is an attack on the agriculture, mining and resource, forestry and fishing sectors.

Have a watch of my speech below 👇",2023-06-19,Colin Boyce MP,AUD,1000,1499,300000,349999.0,https://www.facebook.com/ads/library/?id=243475978383993,0.767558,0.220989,0.063973,0.623052,0.312975,"[{'percentage': '6.0E-6', 'region': 'Unknown'}, {'percentage': '0.007342', 'region': 'Australian Capital Territory'}, {'percentage': '0.237307', 'region': 'New South Wales'}, {'percentage': '0.017003', 'region': 'Northern Territory'}, {'percentage': '0.310311', 'region': 'Queensland'}, {'percentage': '0.072732', 'region': 'South Australia'}, {'percentage': '0.021402', 'region': 'Tasmania'}, {'percentage': '0.209948', 'region': 'Victoria'}, {'percentage': '0.123929', 'region': 'Western Australia'}, {'percentage': '2.2E-5', 'region': 'Jervis Bay Territory'}]",0.007342,0.237307,0.017003,0.310311,0.072732,0.021402,0.209948,0.123929,2023-06-30,['Nature Repair Market Bill 2023'],,,"Attention everybody in rural and regional Australia. The Labor Government is proposing legislation that is an attack on the agriculture, mining and resource, forestry and fishing sectors.

Have a watch of my speech below 👇 Nature Repair Market Bill 2023",attentioneverybodyinruralandregionalaustraliathelaborgovernmentisproposinglegislationthatisanattackontheagricultureminingandresourceforestryandfishingsectorshaveawatchofmyspeechbelow,1.0,no,,Is a Voice ad,,,50,False,1
797,283737073988070,139174417547253,the voice,The Week on Wednesday,"Weekend Wrap #podcast: https://apple.co/3MKlTlx
Ben Davison looks at the first 12 months of the Albanese Labor government and some of the big changes ranging from the National Anti-Corruption Commission and Robo-debt royal commission to improvements in job security and wages to NDIS reforms and genuine action on climate change.  The first year of Labor at a national level has achieved a lot.

The union movement has had successes on wages, women's participation in the workforce, job security, the energy transition authority and improvements to the social wage.  join your union at australianunions.org.au/wow

Ben also takes a look at why media is obsessed with the negatives.  The Voice is a classic example where two polls released in the same week get very different treatment by the media.  Ben explains how this empowers the fringe elements and the impact that has on people, such as Stan Grant's announcement, and our political system.

The Liberal's in Victoria continue to want a party leader that will embrace hatred and defend Nazism with the state conference in Bendigo marred by walkouts, booing and cries of ""shame"" as Menzian Liberal leader John Pesutto took the stage.

Ben asks the question, if we want more progress on #education, #healthcare, #NDIS, tax reform and #climate change do we really think the Liberals will deliver it better than Labor?

There's no Week on Wednesday this week but you can catch up on old episodes and extra links via our supporter page www.buymeacoffee.com/weekonwednesday
#auspol #Insiders #budget",2023-05-21,Benjamin John Davison,AUD,100,199,20000,24999.0,https://www.facebook.com/ads/library/?id=283737073988070,0.835645,0.149965,0.534486,0.272202,0.193314,"[{'percentage': '0.027859', 'region': 'Australian Capital Territory'}, {'percentage': '0.323074', 'region': 'New South Wales'}, {'percentage': '0.00849', 'region': 'Northern Territory'}, {'percentage': '0.185814', 'region': 'Queensland'}, {'percentage': '0.070753', 'region': 'South Australia'}, {'percentage': '0.023171', 'region': 'Tasmania'}, {'percentage': '0.28363', 'region': 'Victoria'}, {'percentage': '0.077209', 'region': 'Western Australia'}]",0.027859,0.323074,0.00849,0.185814,0.070753,0.023171,0.28363,0.077209,2023-05-26,,,,"Weekend Wrap #podcast: https://apple.co/3MKlTlx
Ben Davison looks at the first 12 months of the Albanese Labor government and some of the big changes ranging from the National Anti-Corruption Commission and Robo-debt royal commission to improvements in job security and wages to NDIS reforms and genuine action on climate change.  The first year of Labor at a national level has achieved a lot.

The union movement has had successes on wages, women's participation in the workforce, job security, the energy transition authority and improvements to the social wage.  join your union at australianunions.org.au/wow

Ben also takes a look at why media is obsessed with the negatives.  The Voice is a classic example where two polls released in the same week get very different treatment by the media.  Ben explains how this empowers the fringe elements and the impact that has on people, such as Stan Grant's announcement, and our political system.

The Liberal's in Victoria continue to want a party leader that will embrace hatred and defend Nazism with the state conference in Bendigo marred by walkouts, booing and cries of ""shame"" as Menzian Liberal leader John Pesutto took the stage.

Ben asks the question, if we want more progress on #education, #healthcare, #NDIS, tax reform and #climate change do we really think the Liberals will deliver it better than Labor?

There's no Week on Wednesday this week but you can catch up on old episodes and extra links via our supporter page www.buymeacoffee.com/weekonwednesday
#auspol #Insiders #budget",weekendwrappodcasthttpsappleco3mkltlxbendavisonlooksatthefirst12monthsofthealbaneselaborgovernmentandsomeofthebigchangesrangingfromthenationalanticorruptioncommissionandrobodebtroyalcommissiontoimprovementsinjobsecurityandwagestondisreformsandgenuineactiononclimatechangethefirstyearoflaboratanationallevelhasachievedalottheunionmovementhashadsuccessesonwageswomensparticipationintheworkforcejobsecuritytheenergytransitionauthorityandimprovementstothesocialwagejoinyourunionataustralianunionsorgauwowbenalsotakesalookatwhymediaisobsessedwiththenegativesthevoiceisaclassicexamplewheretwopollsreleasedinthesameweekgetverydifferenttreatmentbythemediabenexplainshowthisempowersthefringeelementsandtheimpactthathasonpeoplesuchasstangrantsannouncementandourpoliticalsystemtheliberalsinvictoriacontinuetowantapartyleaderthatwillembracehatredanddefendnazismwiththestateconferenceinbendigomarredbywalkoutsbooingandcriesofshameasmenzianliberalleaderjohnpesuttotookthestagebenasksthequestionifwewantmoreprogressoneducationhealthcarendistaxreformandclimatechangedowereallythinktheliberalswilldeliveritbetterthanlabortheresnoweekonwednesdaythisweekbutyoucancatchuponoldepisodesandextralinksviaoursupporterpagewwwbuymeacoffeecomweekonwednesdayauspolinsidersbudget,1.0,yes,,Not a Voice Ad,,"['the voice', 'no']",30,False,1
968,1991935521150273,139174417547253,the voice,The Week on Wednesday,"Weekend Wrap #podcast https://apple.co/3ADFSLN
Van Badham joins Ben Davison for a special weekend wrap! They dissect David Speers' on defence policy, consider #insiders decision to ignore reforms to the pharmaceutical benefits scheme (PBS), ask whether Albo attending the Sandilands wedding was either good or bad politics and the dangers of mistaking online abuse for a real-world movement.

Our hosts discuss what real reforms to the social safety net would look like, and how media needs to be careful not to fall into the traps that right-wing media are now tangled in when reporting on policy reforms to the NDIS, unemployment and housing.

They also cover Australian Unions using May Day to campaign for The Voice, with Sally McManus and Michele O'Neil on the ground in the ""soft"" states of Queensland and South Australia. This comes on the back of polling showing that YES would win the referendum if it were held today.... so, join your union at australianunions.org.au/wow

Ben and Van also discuss the announced reforms to migration, the improved protections for workers, the uplift in regulation in the sector and how Labor is facing down vested interests to deliver needed skills as well as opportunity for people to make Australia their home while contributing to our commonwealth.
#auspol #ausunions #albo #YES",2023-04-30,Benjamin John Davison,AUD,100,199,15000,19999.0,https://www.facebook.com/ads/library/?id=1991935521150273,0.936186,0.052156,0.787788,0.163713,0.0485,"[{'percentage': '0.038004', 'region': 'Australian Capital Territory'}, {'percentage': '0.342245', 'region': 'New South Wales'}, {'percentage': '0.009553', 'region': 'Northern Territory'}, {'percentage': '0.175864', 'region': 'Queensland'}, {'percentage': '0.067143', 'region': 'South Australia'}, {'percentage': '0.022885', 'region': 'Tasmania'}, {'percentage': '0.261494', 'region': 'Victoria'}, {'percentage': '0.082812', 'region': 'Western Australia'}]",0.038004,0.342245,0.009553,0.175864,0.067143,0.022885,0.261494,0.082812,2023-05-03,,,,"Weekend Wrap #podcast https://apple.co/3ADFSLN
Van Badham joins Ben Davison for a special weekend wrap! They dissect David Speers' on defence policy, consider #insiders decision to ignore reforms to the pharmaceutical benefits scheme (PBS), ask whether Albo attending the Sandilands wedding was either good or bad politics and the dangers of mistaking online abuse for a real-world movement.

Our hosts discuss what real reforms to the social safety net would look like, and how media needs to be careful not to fall into the traps that right-wing media are now tangled in when reporting on policy reforms to the NDIS, unemployment and housing.

